num_points,true_distance,epsilon,sample_size,Method1_avg_time,Method2_avg_time,Method1_accuracy,Method2_accuracy
100000,0.15642,0.1,20,0.00058247,0.00070194,87,99
100000,0.15642,0.05,41,0.00072649,0.00074314,100,100
100000,0.17389,0.5,4,0.00054135,0.00171304,7,87
100000,0.17389,0.45,5,0.00052083,0.00172476,19,87
100000,0.17389,0.4,5,0.00058181,0.00168977,13,92
100000,0.17389,0.35,6,0.00054288,0.00162255,27,90
100000,0.17389,0.3,7,0.00055257,0.0014285,42,92
100000,0.17389,0.25,8,0.0005376,0.00135642,48,98
100000,0.17389,0.2,10,0.00054471,0.00122778,54,96
100000,0.17389,0.15,14,0.00055895,0.00081758,88,100
100000,0.17389,0.1,20,0.00058479,0.00072268,87,100
100000,0.17389,0.05,41,0.00072152,0.00072143,100,100
100000,0.18452,0.5,4,0.0005416,0.00168536,4,82
100000,0.18452,0.45,5,0.00051382,0.00162844,13,84
100000,0.18452,0.4,5,0.0005179,0.00166331,14,85
100000,0.18452,0.35,6,0.00052888,0.00155405,31,91
100000,0.18452,0.3,7,0.00053437,0.00140088,38,92
100000,0.18452,0.25,8,0.0005453,0.00135102,47,95
100000,0.18452,0.2,10,0.00054662,0.00107755,66,99
100000,0.18452,0.15,14,0.00056023,0.00092928,76,100
100000,0.18452,0.1,20,0.00059454,0.00069114,93,100
100000,0.18452,0.05,41,0.00072889,0.00071178,100,100
100000,0.21604,0.5,4,0.0005226,0.00173292,9,85
100000,0.21604,0.45,5,0.0005114,0.00161774,20,95
100000,0.21604,0.4,5,0.00051872,0.00152224,16,87
100000,0.21604,0.35,6,0.00052608,0.00140532,31,89
100000,0.21604,0.3,7,0.00055502,0.0013394,46,94
100000,0.21604,0.25,8,0.00053594,0.00123862,51,97
100000,0.21604,0.2,10,0.00055731,0.00104464,73,99
100000,0.21604,0.15,14,0.00056479,0.00069661,83,100
100000,0.21604,0.1,20,0.00058653,0.00061831,95,100
100000,0.21604,0.05,41,0.00071329,0.00072417,100,100
100000,0.24984,0.5,4,0.00051615,0.00162428,6,89
100000,0.24984,0.45,5,0.00051504,0.00158763,21,93
100000,0.24984,0.4,5,0.00052359,0.00158536,25,92
100000,0.24984,0.35,6,0.00052204,0.00143264,36,96
100000,0.24984,0.3,7,0.00053563,0.00121269,48,98
100000,0.24984,0.25,8,0.00053793,0.00110616,53,98
100000,0.24984,0.2,10,0.00054922,0.00085981,64,99
100000,0.24984,0.15,14,0.00055819,0.00068126,96,100
100000,0.24984,0.1,20,0.000582,0.00058938,98,100
100000,0.24984,0.05,41,0.00071442,0.00071725,100,100
100000,0.27691,0.5,4,0.00051731,0.00168536,8,94
100000,0.27691,0.45,5,0.00052196,0.00152479,21,98
100000,0.27691,0.4,5,0.00051587,0.00162289,26,93
100000,0.27691,0.35,6,0.00052749,0.00138616,37,100
100000,0.27691,0.3,7,0.00054105,0.00121021,59,98
100000,0.27691,0.25,8,0.00053518,0.00104172,54,99
100000,0.27691,0.2,10,0.00056679,0.000798,85,100
100000,0.27691,0.15,14,0.0005727,0.00068687,94,100
100000,0.27691,0.1,20,0.00058988,0.00060815,99,100
100000,0.27691,0.05,41,0.00073556,0.00073023,100,100
100000,0.27903,0.5,4,0.00051991,0.00168334,11,92
100000,0.27903,0.45,5,0.00052083,0.00154556,28,97
100000,0.27903,0.4,5,0.00051596,0.00159662,21,97
100000,0.27903,0.35,6,0.00052716,0.0012904,37,98
100000,0.27903,0.3,7,0.00054529,0.00114054,48,100
100000,0.27903,0.25,8,0.00054547,0.00107157,69,99
100000,0.27903,0.2,10,0.00054164,0.000794,84,100
100000,0.27903,0.15,14,0.00056381,0.0006138,92,100
100000,0.27903,0.1,20,0.00057815,0.00058786,99,100
100000,0.27903,0.05,41,0.00071137,0.00076124,100,100
100000,0.3211,0.5,4,0.00054663,0.00161707,7,87
100000,0.3211,0.45,5,0.00051876,0.00148569,35,90
100000,0.3211,0.4,5,0.00052466,0.00147511,33,94
100000,0.3211,0.35,6,0.00052798,0.00129612,40,100
100000,0.3211,0.3,7,0.00052968,0.00128442,50,100
100000,0.3211,0.25,8,0.00054288,0.00112104,73,99
100000,0.3211,0.2,10,0.00056639,0.00075147,88,100
100000,0.3211,0.15,14,0.00056084,0.00061644,94,100
100000,0.3211,0.1,20,0.00057691,0.00058811,100,100
100000,0.3211,0.05,41,0.00070679,0.00072633,100,100
100000,0.35379,0.5,4,0.00051853,0.00163536,15,92
100000,0.35379,0.45,5,0.00051686,0.00147298,35,99
100000,0.35379,0.4,5,0.0005197,0.00143548,25,96
100000,0.35379,0.35,6,0.00054221,0.00121237,41,100
100000,0.35379,0.3,7,0.0005398,0.00100019,62,99
100000,0.35379,0.25,8,0.00054875,0.00098002,70,100
100000,0.35379,0.2,10,0.00054334,0.0006756,90,100
100000,0.35379,0.15,14,0.0005568,0.00060864,100,100
100000,0.35379,0.1,20,0.00057655,0.00059287,99,100
100000,0.35379,0.05,41,0.00072024,0.00073001,100,100
