num_points,true_distance,epsilon,sample_size,Method1_avg_time,Method2_avg_time,Method1_accuracy,Method2_accuracy
25000,4.49203259103922,0.35,12,0.00053616,0.00096578,100,27
25000,4.49203259103922,0.3,14,0.00054444,0.00095697,100,35
25000,4.49203259103922,0.25,16,0.00055733,0.0009659,100,35
25000,4.49203259103922,0.2,20,0.00058906,0.00110988,100,39
25000,4.49203259103922,0.15,27,0.00063115,0.00107754,100,32
25000,4.49203259103922,0.1,40,0.00075279,0.00117188,100,48
25000,4.49203259103922,0.05,81,0.00147141,0.00194134,100,40
30000,4.58546657731832,0.5,8,0.00053384,0.00104395,100,40
30000,4.58546657731832,0.45,9,0.00052085,0.00097383,100,23
30000,4.58546657731832,0.4,10,0.00053097,0.00104067,100,38
30000,4.58546657731832,0.35,12,0.00054258,0.00101807,100,36
30000,4.58546657731832,0.3,14,0.00055142,0.00101687,100,25
30000,4.58546657731832,0.25,16,0.00056517,0.00102175,100,32
30000,4.58546657731832,0.2,20,0.00058257,0.00103675,100,32
30000,4.58546657731832,0.15,27,0.00063407,0.00109698,100,37
30000,4.58546657731832,0.1,40,0.00075272,0.00123967,100,34
30000,4.58546657731832,0.05,81,0.00145261,0.00190769,100,36
35000,4.38599676075756,0.5,8,0.00055308,0.00108769,100,36
35000,4.38599676075756,0.45,9,0.00054945,0.00105313,100,27
35000,4.38599676075756,0.4,10,0.00052748,0.00104707,100,36
35000,4.38599676075756,0.35,12,0.00053992,0.00106646,100,37
35000,4.38599676075756,0.3,14,0.00056098,0.00114654,100,32
35000,4.38599676075756,0.25,16,0.00058814,0.00117986,100,31
35000,4.38599676075756,0.2,20,0.00058434,0.00115577,100,44
35000,4.38599676075756,0.15,27,0.00063315,0.00116606,100,26
35000,4.38599676075756,0.1,40,0.00075608,0.00131292,100,43
35000,4.38599676075756,0.05,81,0.00149761,0.00205526,100,42
40000,3.75751035206291,0.5,8,0.00051964,0.0010856,100,28
40000,3.75751035206291,0.45,9,0.00052913,0.00115648,100,32
40000,3.75751035206291,0.4,10,0.00053145,0.00114747,100,34
40000,3.75751035206291,0.35,12,0.00054804,0.0012337,100,39
40000,3.75751035206291,0.3,14,0.00054706,0.00117005,100,37
40000,3.75751035206291,0.25,16,0.00055978,0.00125386,100,32
40000,3.75751035206291,0.2,20,0.00058657,0.00118382,100,27
40000,3.75751035206291,0.15,27,0.00062752,0.00122391,100,29
40000,3.75751035206291,0.1,40,0.000743,0.00135532,100,36
40000,3.75751035206291,0.05,81,0.00146053,0.00206101,100,35
45000,4.90038459421401,0.5,8,0.00051908,0.00116075,100,24
45000,4.90038459421401,0.45,9,0.00052597,0.00115555,100,24
45000,4.90038459421401,0.4,10,0.00053497,0.00115985,100,34
45000,4.90038459421401,0.35,12,0.00053795,0.00117698,100,40
45000,4.90038459421401,0.3,14,0.0005523,0.00118455,100,32
45000,4.90038459421401,0.25,16,0.00056535,0.00122465,100,28
45000,4.90038459421401,0.2,20,0.0005844,0.00130296,100,24
45000,4.90038459421401,0.15,27,0.00062409,0.00127326,100,41
45000,4.90038459421401,0.1,40,0.00074877,0.00139884,100,38
45000,4.90038459421401,0.05,81,0.00145038,0.00207725,100,34
50000,4.36297834699212,0.5,8,0.00052756,0.00125462,100,29
50000,4.36297834699212,0.45,9,0.00052565,0.00122115,100,34
50000,4.36297834699212,0.4,10,0.00053794,0.00123095,100,36
50000,4.36297834699212,0.35,12,0.00054149,0.0012428,100,43
50000,4.36297834699212,0.3,14,0.00055443,0.00125895,100,30
50000,4.36297834699212,0.25,16,0.00055924,0.00127333,100,34
50000,4.36297834699212,0.2,20,0.00058679,0.00133768,100,34
50000,4.36297834699212,0.15,27,0.00063977,0.00134342,100,34
50000,4.36297834699212,0.1,40,0.00075339,0.00150388,100,36
50000,4.36297834699212,0.05,81,0.00147464,0.00215756,100,28
55000,4.09215879631079,0.5,8,0.00052419,0.00134348,100,34
55000,4.09215879631079,0.45,9,0.00051806,0.00132455,100,26
55000,4.09215879631079,0.4,10,0.00051628,0.00129595,100,37
55000,4.09215879631079,0.35,12,0.00053731,0.00129511,100,34
55000,4.09215879631079,0.3,14,0.00054996,0.00129451,100,27
55000,4.09215879631079,0.25,16,0.00056295,0.00133165,100,26
55000,4.09215879631079,0.2,20,0.00058301,0.00136549,100,42
55000,4.09215879631079,0.15,27,0.00063296,0.00143762,100,33
55000,4.09215879631079,0.1,40,0.00076038,0.00155132,100,50
55000,4.09215879631079,0.05,81,0.00148281,0.00223419,100,31
60000,4.52196957875175,0.5,8,0.00051679,0.00140283,100,43
60000,4.52196957875175,0.45,9,0.0005176,0.00137592,100,35
60000,4.52196957875175,0.4,10,0.00052716,0.00137796,100,46
60000,4.52196957875175,0.35,12,0.00053707,0.00136796,100,39
60000,4.52196957875175,0.3,14,0.00054915,0.00138563,100,31
60000,4.52196957875175,0.25,16,0.0005623,0.00141715,100,37
60000,4.52196957875175,0.2,20,0.00058429,0.00144521,100,39
60000,4.52196957875175,0.15,27,0.00064473,0.00149143,100,28
60000,4.52196957875175,0.1,40,0.00077283,0.00168639,100,37
60000,4.52196957875175,0.05,81,0.00149765,0.00233602,100,43
65000,4.83620041498004,0.5,8,0.00052666,0.00144832,100,29
65000,4.83620041498004,0.45,9,0.00052198,0.00139907,100,30
65000,4.83620041498004,0.4,10,0.00052715,0.00141986,100,38
