dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
10,20000,0.9,0.45,8,5.106584,0.00071663,7125.83062389239
10,20000,0.9,0.4,19,5.106584,0.00073916,6908.6314194491
10,20000,0.9,0.35,30,5.106584,0.00085572,5967.58752863086
10,20000,0.9,0.3,46,5.106584,0.00085702,5958.53539007257
10,20000,0.9,0.25,68,5.106584,0.00091947,5553.83427409268
10,20000,0.9,0.2,81,5.106584,0.00111622,4574.89025460931
10,20000,0.9,0.15,97,5.106584,0.00153642,3323.69013681155
10,20000,0.9,0.1,100,5.106584,0.00301599,1693.17007019254
10,20000,0.9,0.05,100,5.106584,0.01794621,284.549439686708
10,20000,0.95,0.5,2,4.515755,0.00076095,5934.36493856364
10,20000,0.95,0.45,3,4.515755,0.00073841,6115.51170758793
10,20000,0.95,0.4,6,4.515755,0.00075899,5949.68971923214
10,20000,0.95,0.35,9,4.515755,0.0007959,5673.77183063199
10,20000,0.95,0.3,27,4.515755,0.00086648,5211.60903886991
10,20000,0.95,0.25,36,4.515755,0.00091549,4932.60985920108
10,20000,0.95,0.2,59,4.515755,0.00115126,3922.44584194709
10,20000,0.95,0.15,80,4.515755,0.0015381,2935.93069371302
10,20000,0.95,0.1,98,4.515755,0.00291093,1551.31006241991
10,20000,0.95,0.05,100,4.515755,0.01716891,263.019318058048
10,20000,1,0.5,0,14.058212,0.00069446,20243.371828471
10,20000,1,0.45,0,14.058212,0.00073827,19042.1011283135
10,20000,1,0.4,0,14.058212,0.00073626,19094.0863281993
10,20000,1,0.35,0,14.058212,0.00081071,17340.6174834404
10,20000,1,0.3,0,14.058212,0.000813130000000001,17289.0091375303
10,20000,1,0.25,0,14.058212,0.00095452,14728.043414491
10,20000,1,0.2,0,14.058212,0.00107115,13124.4102133221
10,20000,1,0.15,0,14.058212,0.00159877,8793.14222808785
10,20000,1,0.1,0,14.058212,0.00294747,4769.58611962123
10,20000,1,0.05,0,14.058212,0.0155308,905.182733664718
20,5000,0.6,0.5,27,0.430164,0.00107184,401.332288401254
20,5000,0.6,0.45,61,0.430164,0.00124393,345.810455572259
20,5000,0.6,0.4,82,0.430164,0.00135708,316.977628437528
20,5000,0.6,0.35,96,0.430164,0.00167483,256.840395741657
20,5000,0.6,0.3,100,0.430164,0.00189145,227.425520103624
20,5000,0.6,0.25,100,0.430164,0.00251093,171.316603808151
20,5000,0.6,0.2,100,0.430164,0.00370399,116.135302741098
20,5000,0.6,0.15,100,0.430164,0.00666464,64.5442214433188
20,5000,0.6,0.1,100,0.430164,0.02264919,18.9924672802868
20,5000,0.6,0.05,100,0.430164,1.26711965,0.339481752966265
20,5000,0.7,0.5,20,0.424296,0.00109476,387.569878329497
20,5000,0.7,0.45,49,0.424296,0.00126945,334.236086494151
20,5000,0.7,0.4,68,0.424296,0.00135903,312.205028586565
20,5000,0.7,0.35,91,0.424296,0.00170957,248.188725819943
20,5000,0.7,0.3,100,0.424296,0.00192726,220.15503875969
20,5000,0.7,0.25,100,0.424296,0.0026234,161.735152855074
20,5000,0.7,0.2,100,0.424296,0.00359536,118.012104490232
20,5000,0.7,0.15,100,0.424296,0.00695499,61.0059827548278
20,5000,0.7,0.1,100,0.424296,0.03073193,13.8063571015553
20,5000,0.7,0.05,100,0.424296,1.35092652,0.314077778264357
20,5000,0.8,0.5,7,0.427435,0.0010869,393.260649553776
20,5000,0.8,0.45,32,0.427435,0.00115892,368.821834121423
20,5000,0.8,0.4,41,0.427435,0.00128632,332.292897568257
20,5000,0.8,0.35,74,0.427435,0.00154708,276.285001422034
20,5000,0.8,0.3,93,0.427435,0.00185681,230.198566358432
20,5000,0.8,0.25,99,0.427435,0.00243602,175.464487155278
20,5000,0.8,0.2,100,0.427435,0.00345389,123.754665029865
20,5000,0.8,0.15,100,0.427435,0.00650491,65.7095947522718
20,5000,0.8,0.1,100,0.427435,0.02164574,19.7468416418196
20,5000,0.8,0.05,100,0.427435,0.96238035,0.444143523919623
20,5000,0.9,0.5,1,0.405538,0.00100506,403.496308678089
20,5000,0.9,0.45,7,0.405538,0.00112746,359.691696379472
20,5000,0.9,0.4,16,0.405538,0.00129166,313.966523698187
20,5000,0.9,0.35,43,0.405538,0.00155058,261.53955294148
20,5000,0.9,0.3,52,0.405538,0.00196487,206.39431616341
20,5000,0.9,0.25,79,0.405538,0.00265388,152.809471415437
20,5000,0.9,0.2,98,0.405538,0.00376628,107.676009218645
20,5000,0.9,0.15,100,0.405538,0.00711626,56.9875187247234
20,5000,0.9,0.1,100,0.405538,0.02075825,19.5362325822263
20,5000,0.9,0.05,100,0.405538,0.85480338,0.474422550832684
20,5000,0.95,0.5,0,0.435498,0.00096135,453.006709315026
20,5000,0.95,0.45,0,0.435498,0.00104999,414.763950132859
20,5000,0.95,0.4,6,0.435498,0.00122105,356.658613488391
20,5000,0.95,0.35,15,0.435498,0.00147539,295.174835128339
20,5000,0.95,0.3,19,0.435498,0.00179125,243.125191905094
20,5000,0.95,0.25,38,0.435498,0.00236918,183.818029866874
20,5000,0.95,0.2,69,0.435498,0.00374907,116.161608078804
