dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
50,30000,0.8,0.35,84,56.884509,0.01232622,4614.919172301
50,30000,0.8,0.3,100,56.884509,0.01657916,3431.08510925765
50,30000,0.8,0.25,100,56.884509,0.0244267,2328.78403550214
50,30000,0.8,0.2,100,56.884509,0.05092101,1117.11273990834
50,30000,0.8,0.15,100,56.884509,0.36174114,157.251975818952
50,30000,0.8,0.1,100,56.884509,0.05454699,1042.85330867936
50,30000,0.8,0.05,100,56.884509,0.14129131,402.6044418443
50,30000,0.9,0.5,1,56.335601,0.00398289,14144.4029335483
50,30000,0.9,0.45,0,56.335601,0.00529358,10642.2498573744
50,30000,0.9,0.4,9,56.335601,0.00784581,7180.34224637099
50,30000,0.9,0.35,41,56.335601,0.01124969,5007.74696902759
50,30000,0.9,0.3,73,56.335601,0.01784035,3157.76321652882
50,30000,0.9,0.25,96,56.335601,0.03007801,1872.98298657391
50,30000,0.9,0.2,100,56.335601,0.06010352,937.309511988649
50,30000,0.9,0.15,100,56.335601,0.22870241,246.327098170937
50,30000,0.9,0.1,100,56.335601,0.054432,1034.9720936214
50,30000,0.9,0.05,100,56.335601,0.14427557,390.472212308709
50,30000,1,0.5,0,438.685066,0.00355108,123535.675343839
50,30000,1,0.45,0,438.685066,0.00439899,99724.0425643159
50,30000,1,0.4,0,438.685066,0.00553536,79251.4065932478
50,30000,1,0.35,0,438.685066,0.00722579,60711.0178956211
50,30000,1,0.3,0,438.685066,0.01024747,42809.1095655806
50,30000,1,0.25,0,438.685066,0.01520758,28846.4743239884
50,30000,1,0.2,0,438.685066,0.02636707,16637.6114600523
50,30000,1,0.15,0,438.685066,0.05786362,7581.36227909695
50,30000,1,0.1,0,438.685066,0.03466166,12656.2047518786
50,30000,1,0.05,0,438.685066,0.10884676,4030.29971677614
100,30000,0.6,0.5,36,155.827173,0.03616176,4309.17004592697
100,30000,0.6,0.45,90,155.827173,0.0509476,3058.57730295441
100,30000,0.6,0.4,100,155.827173,0.06319531,2465.80281036678
100,30000,0.6,0.35,100,155.827173,0.0869553,1792.03766762923
