filename,sep_degree,epsilon,sample_size,correct_guesses
1000_0.088000_6807.csv,0.088,0.16,19,32
1000_0.088000_6807.csv,0.088,0.21,15,21
1000_0.088000_6807.csv,0.088,0.26,12,13
1000_0.088000_6807.csv,0.088,0.31,10,11
1000_0.088000_6807.csv,0.088,0.36,9,6
1000_0.088000_6807.csv,0.088,0.41,8,4
1000_0.088000_6807.csv,0.088,0.46,7,1
1000_0.103000_5766.csv,0.103,0.01,300,100
1000_0.103000_5766.csv,0.103,0.06,50,99
1000_0.103000_5766.csv,0.103,0.11,28,78
1000_0.103000_5766.csv,0.103,0.16,19,63
1000_0.103000_5766.csv,0.103,0.21,15,43
1000_0.103000_5766.csv,0.103,0.26,12,26
1000_0.103000_5766.csv,0.103,0.31,10,15
1000_0.103000_5766.csv,0.103,0.36,9,7
1000_0.103000_5766.csv,0.103,0.41,8,12
1000_0.103000_5766.csv,0.103,0.46,7,4
1000_0.137000_4631.csv,0.137,0.01,300,100
1000_0.137000_4631.csv,0.137,0.06,50,99
1000_0.137000_4631.csv,0.137,0.11,28,86
1000_0.137000_4631.csv,0.137,0.16,19,57
1000_0.137000_4631.csv,0.137,0.21,15,51
1000_0.137000_4631.csv,0.137,0.26,12,36
1000_0.137000_4631.csv,0.137,0.31,10,30
1000_0.137000_4631.csv,0.137,0.36,9,23
1000_0.137000_4631.csv,0.137,0.41,8,12
1000_0.137000_4631.csv,0.137,0.46,7,13
1000_0.153000_3926.csv,0.153,0.01,300,100
1000_0.153000_3926.csv,0.153,0.06,50,100
1000_0.153000_3926.csv,0.153,0.11,28,91
1000_0.153000_3926.csv,0.153,0.16,19,75
1000_0.153000_3926.csv,0.153,0.21,15,63
1000_0.153000_3926.csv,0.153,0.26,12,35
1000_0.153000_3926.csv,0.153,0.31,10,30
1000_0.153000_3926.csv,0.153,0.36,9,20
1000_0.153000_3926.csv,0.153,0.41,8,8
1000_0.153000_3926.csv,0.153,0.46,7,10
1000_0.164000_2754.csv,0.164,0.01,300,100
1000_0.164000_2754.csv,0.164,0.06,50,100
1000_0.164000_2754.csv,0.164,0.11,28,92
1000_0.164000_2754.csv,0.164,0.16,19,70
1000_0.164000_2754.csv,0.164,0.21,15,60
1000_0.164000_2754.csv,0.164,0.26,12,31
1000_0.164000_2754.csv,0.164,0.31,10,28
1000_0.164000_2754.csv,0.164,0.36,9,25
1000_0.164000_2754.csv,0.164,0.41,8,11
